DOY,Radiation,Rainfall,MaxTemp,MinTemp
275,15.2987761,0.3,31.8,23.4
276,23.03815695,6.6,33.6,24.2
277,14.75881929,1.2,32.2,24.6
278,17.63858891,0,32.6,23.9
279,20.87832973,0,33,24.8
280,21.23830094,0,33.2,24.8
281,16.1987041,35.6,32.6,23.4
282,21.23830094,19.3,32.5,22.8
283,13.49892009,241.5,29.2,23.4
284,3.239740821,9.1,26.7,19
285,15.6587473,0,31.2,24.1
286,13.67890569,10.1,30.4,24.4
287,20.33837293,1.6,32.5,23.5
288,13.85889129,0.3,31,23.7
289,21.23830094,0,33,23.7
290,20.15838733,0,32.4,24.8
291,17.99856012,0,32.5,22
292,7.019438445,2.2,29.5,24.2
293,21.41828654,0.4,32.8,23
294,19.97840173,0.4,33.2,24.4
295,11.33909287,25.2,31.2,23.8
296,15.1187905,11.4,30,23.6
297,18.89848812,0.3,32.2,23
298,19.61843053,0,32,25
299,18.89848812,0,31.8,23.7
300,18.17854572,0,32.1,22.7
301,12.77897768,0,30.5,22.7
302,16.73866091,0,32,23.1
303,20.87832973,0,32,24.2
304,10.25917927,0.2,28,21.2
305,18.35853132,5,32.1,24.2
306,17.63858891,0,31.2,23.5
307,7.019438445,0,28.7,22.4
308,10.25917927,2.3,28.1,24.4
309,15.8387329,6.2,32.2,23.5
310,8.819294456,0.1,27.8,24.1
311,16.91864651,0.1,31.5,23.7
312,20.33837293,0.5,31.5,24.2
313,14.03887689,0,31,23.2
314,19.97840173,0,32,23.2
315,17.63858891,0.2,32.2,23.4
316,16.1987041,0,31.7,24
317,15.8387329,0,31.5,23
318,14.9388049,0,31.5,23.5
319,13.85889129,0,30,22.8
320,9.179265659,0.8,29.2,24.1
321,17.81857451,0,30,21.5
322,12.05903528,0,29.5,22.2
323,15.1187905,0,29,20.5
324,14.03887689,0,28.5,18.4
325,6.119510439,24.6,28.5,20
326,6.119510439,6.9,28,21.1
327,14.39884809,0,31.5,20.7
328,19.61843053,0,32,22.5
329,14.57883369,0.5,32,21.5
330,18.35853132,0,31.8,23.5
331,18.53851692,0,32,22
332,18.53851692,1.8,31.7,22.2
333,5.579553636,0,26.5,23
334,10.25917927,0,27.4,22.1
335,15.1187905,0,27,20.8
336,19.43844492,0,29.3,18.1
337,16.91864651,0,29.5,18.6
338,15.4787617,0,29.4,19.4
339,13.49892009,0,29.2,21.1
340,17.09863211,0,29,19.7
341,17.99856012,0,29.5,18.8
342,13.49892009,0,29,20.7
343,12.77897768,0,28,20.7
344,14.03887689,0,27.7,20.5
345,14.57883369,0,28.7,18
346,18.17854572,0,29,21.4
347,16.73866091,0,30,22.5
348,16.0187185,0,30.2,21
349,8.279337653,14.5,28.2,22
350,6.659467243,5.5,25.2,21.8
351,7.559395248,6,26.6,21.5
352,8.999280058,9.6,27.5,21.5
353,8.279337653,0.6,27.4,21
354,10.07919366,1.9,28,21.8
355,9.179265659,0,28,21.6
356,17.81857451,0,30.1,20.6
357,14.9388049,0,30.2,22.4
358,9.719222462,0.7,30.2,20
359,17.81857451,0,31.5,24
360,13.85889129,0,30.4,21.3
361,8.999280058,3,29.1,23
362,13.67890569,0,30.2,23.2
363,19.61843053,0,31.9,21.4
364,14.03887689,0,31,19.6
365,17.81857451,0,30.8,19.4
